kusini,"['ku', 'si', 'n', 'i']"
walivyouawa,"['wa', 'li', 'vyo', 'ua', 'ua', 'w', 'a']"
kuwabadilisha,"['ku', 'wa', 'badili', 'badili', 'sh', 'a']"
anatuma,"['a', 'na', 'tu', 'm', 'a']"
zinakuzwa,"['zi', 'na', 'ku', 'zw', 'a']"
hawatakiwa,"['ha', 'wa', 'ta', 'ki', 'w', 'a']"
zitabakia,"['zi', 'ta', 'baki', 'baki', 'a']"
aitwae,"['a', 'itwa', 'itwa', 'e']"
kuishika,"['ku', 'ishi', 'ishi', 'k', 'a']"
wanaotamani,"['wa', 'na', 'ota', 'ota', 'm', 'a', 'ni']"
wakishindana,"['wa', 'ki', 'shinda', 'shinda', 'n', 'a']"
hubakia,"['hu', 'baki', 'baki', 'a']"
limechoka,"['li', 'me', 'cho', 'k', 'a']"
akisalimiana,"['a', 'ki', 'salimia', 'salimia', 'n', 'a']"
inayokuwa,"['i', 'na', 'yo', 'ku', 'w', 'a']"
amejiua,"['a', 'me', 'ji', 'u', 'a']"
walimokuwa,"['wa', 'li', 'mo', 'ku', 'w', 'a']"
yalikubaliwa,"['ya', 'li', 'kubali', 'kubali', 'w', 'a']"
zimeuzwa,"['zi', 'me', 'u', 'zw', 'a']"
alirudisha,"['a', 'li', 'rudi', 'rudi', 'sh', 'a']"
kinapasa,"['ki', 'na', 'pa', 's', 'a']"
linarudisha,"['li', 'na', 'rudi', 'rudi', 'sh', 'a']"
ukataka,"['u', 'kata', 'kata', 'k', 'a']"
amechomwa,"['a', 'me', 'cho', 'm', 'w', 'a']"
watakataa,"['wa', 'takata', 'takata', 'a']"
ameivaa,"['a', 'me', 'iva', 'iva', 'a']"
hawajakutana,"['ha', 'wa', 'ja', 'kuta', 'kuta', 'n', 'a']"
wanae,"['wa', 'na', 'e']"
walichoma,"['wa', 'li', 'cho', 'm', 'a']"
anauawa,"['a', 'na', 'ua', 'ua', 'w', 'a']"
ameokoka,"['a', 'me', 'o', 'ko', 'ko', 'k', 'a']"
kushtakiwa,"['ku', 'shtaki', 'shtaki', 'w', 'a']"
wanaowaua,"['wa', 'na', 'o', 'wa', 'u', 'a']"
yatakapokuwa,"['ya', 'taka', 'po', 'ku', 'w', 'a']"
mogae,"['m', 'oga', 'oga', 'e']"
waliomweka,"['wa', 'li', 'o', 'mw', 'ek', 'a']"
vichakani,"['vi', 'cha', 'cha', 'k', 'a', 'ni']"
mwezake,"['m', 'weza', 'weza', 'k', 'e']"
mmekuwa,"['m', 'me', 'ku', 'w', 'a']"
watazidisha,"['wa', 'ta', 'zidi', 'zidi', 'sh', 'a']"
hazikuzaa,"['ha', 'zi', 'kuza', 'kuza', 'a']"
kujiungana,"['ku', 'ji', 'unga', 'unga', 'n', 'a']"
wanachofikiria,"['wa', 'na', 'cho', 'fikiri', 'fikiri', 'a']"
waliongozana,"['wa', 'li', 'ongoza', 'ongoza', 'n', 'a']"
alipingana,"['a', 'li', 'pinga', 'pinga', 'n', 'a']"
lisiwe,"['li', 'si', 'w', 'e']"
tumika,"['tu', 'm', 'ik', 'a']"
akubaliane,"['a', 'kubali', 'kubali', 'an', 'e']"
yakisubiriwa,"['ya', 'ki', 'subiri', 'subiri', 'w', 'a']"
tutaua,"['tu', 'ta', 'u', 'a']"
lowasa,"['lowa', 'lowa', 's', 'a']"
mizani,"['m', 'i', 'z', 'a', 'ni']"
tutashindana,"['tu', 'ta', 'shinda', 'shinda', 'n', 'a']"
tuisheni,"['tu', 'i', 'sh', 'e', 'ni']"
atawania,"['a', 'ta', 'wa', 'ni', 'ni', 'a']"
linapingana,"['li', 'na', 'pinga', 'pinga', 'n', 'a']"
iliyoungana,"['i', 'li', 'yo', 'unga', 'unga', 'n', 'a']"
anashtakiwa,"['a', 'na', 'shtaki', 'shtaki', 'w', 'a']"
alishtakiwa,"['a', 'li', 'shtaki', 'shtaki', 'w', 'a']"
limeitaka,"['li', 'me', 'ita', 'ita', 'k', 'a']"
sifai,"['si', 'fa', 'fa', 'i']"
ulikutana,"['u', 'li', 'kuta', 'kuta', 'n', 'a']"
kusikiza,"['ku', 'si', 'ki', 'z', 'a']"
waliyekuwa,"['wa', 'li', 'ye', 'ku', 'w', 'a']"
limejaliwa,"['li', 'me', 'ja', 'ja', 'liw', 'a']"
imebadilisha,"['i', 'me', 'badili', 'badili', 'sh', 'a']"
ungewaka,"['u', 'nge', 'wa', 'k', 'a']"
ataishia,"['a', 'ta', 'ishi', 'ishi', 'a']"
watakiwa,"['wa', 'ta', 'ki', 'w', 'a']"
vinavyodaiwa,"['vi', 'na', 'vyo', 'dai', 'dai', 'w', 'a']"
vinavyosadikiwa,"['vi', 'na', 'vyo', 'sadiki', 'sadiki', 'w', 'a']"
yalitokana,"['ya', 'li', 'toka', 'toka', 'n', 'a']"
kuchafuana,"['ku', 'chafua', 'chafua', 'n', 'a']"
hatukatai,"['ha', 'tu', 'kata', 'kata', 'i']"
hakitakuwa,"['ha', 'ki', 'ta', 'ku', 'w', 'a']"
vinavyodhaniwa,"['vi', 'na', 'vyo', 'dhani', 'dhani', 'w', 'a']"
hakitakiwi,"['ha', 'ki', 'ta', 'ki', 'w', 'i']"
kikiwamo,"['ki', 'ki', 'w', 'a', 'mo']"
unaoua,"['u', 'na', 'o', 'u', 'a']"
hatuamini,"['ha', 'tua', 'tua', 'm', 'i', 'ni']"
kinachofurahisha,"['ki', 'na', 'cho', 'furahi', 'furahi', 'sh', 'a']"
kulikuwapo,"['ku', 'li', 'ku', 'w', 'a', 'po']"
yanayohitajika,"['ya', 'na', 'yo', 'hitaji', 'hitaji', 'k', 'a']"
mibaya,"['m', 'iba', 'iba', 'y', 'a']"
amewaua,"['a', 'me', 'wa', 'u', 'a']"
aliyeajiriwa,"['a', 'li', 'ye', 'ajiri', 'ajiri', 'w', 'a']"
utarudisha,"['u', 'ta', 'rudi', 'rudi', 'sh', 'a']"
waliishi,"['wa', 'li', 'i', 'sh', 'i']"
walibadilisha,"['wa', 'li', 'badili', 'badili', 'sh', 'a']"
mziki,"['m', 'zi', 'k', 'i']"
hatutakubaliana,"['ha', 'tu', 'ta', 'kubali', 'kubali', 'an', 'a']"
wanayokuwa,"['wa', 'na', 'yo', 'ku', 'w', 'a']"
alifuatana,"['a', 'li', 'fuata', 'fuata', 'n', 'a']"
vichaa,"['vi', 'cha', 'cha', 'a']"
aliwaua,"['a', 'li', 'wa', 'u', 'a']"
waliwasha,"['wa', 'li', 'wa', 'sh', 'a']"
kuzibana,"['ku', 'ziba', 'ziba', 'n', 'a']"
atakavyokuwa,"['a', 'taka', 'vyo', 'ku', 'w', 'a']"
ulizaliwa,"['uliza', 'uliza', 'liw', 'a']"
alawi,"['a', 'la', 'la', 'w', 'i']"
mkuwa,"['m', 'ku', 'w', 'a']"
wakifukuzana,"['wa', 'ki', 'fukuza', 'fukuza', 'n', 'a']"
wanaolia,"['wa', 'na', 'o', 'li', 'a']"
wameisha,"['wa', 'me', 'i', 'sh', 'a']"
itakapo,"['i', 'ta', 'k', 'a', 'po']"
wanacho,"['wa', 'n', 'a', 'cho']"
kuanzai,"['ku', 'anza', 'anza', 'i']"
zitahifadhiwa,"['zi', 'ta', 'hifadhi', 'hifadhi', 'w', 'a']"
